,product_name,price,receipt_id
0,VOLLKORNTORTILLA,2.58,Rewe_1.jpg
1,TOFU NATUR,4.38,Rewe_1.jpg
2,HAUCHSCHN CURRY,3.18,Rewe_1.jpg
3,HONEYPOMELO PINK,2.99,Rewe_1.jpg
4,DINKEL - CRUNCHY,2.59,Rewe_1.jpg
5,TARTEX SC TOSKA,2.69,Rewe_1.jpg
6,AUFSTRICH PAP . ZU,2.38,Rewe_1.jpg
7,BROT VITAL GF,5.98,Rewe_1.jpg
8,INST . NUDELGER . HU,2.07,Rewe_1.jpg
9,INST . NUDELG . ENTE,1.38,Rewe_1.jpg
10,LEERGUT EINWEG,-0.25,Rewe_1.jpg
11,BANANE,2.06,Rewe_2.jpg
12,ROTE BETE FRISCH,0.48,Rewe_2.jpg
13,ZUCCHINI GRUEN,1.78,Rewe_2.jpg
14,CHAMP . WEISS,1.99,Rewe_2.jpg
15,"Rabatt 30 % -0 ,",60.0,Rewe_2.jpg
16,KRUSTENBROT,0.76,Rewe_2.jpg
17,WELTM . -MEHRKORN,1.99,Rewe_2.jpg
18,TORTILLA WEIZEN,2.98,Rewe_2.jpg
19,HONEYPOMELO PINK,2.29,Rewe_2.jpg
20,ZWIEBEL LAUCH,0.95,Rewe_2.jpg
21,BROCCOLI NEUTRAL,2.78,Rewe_2.jpg
22,EISBERGSALAT,0.89,Rewe_2.jpg
23,"RUCOLA 1 ,",19.0,Rewe_2.jpg
24,PORREE,0.79,Rewe_2.jpg
25,CHERRYROMATOMATE,0.99,Rewe_2.jpg
26,GURKE MINI,0.59,Rewe_2.jpg
27,PAPRIKA ROT,1.89,Rewe_2.jpg
28,BIO EIER OKT 3.,19.0,Rewe_2.jpg
29,PIZZA MARGHERITA,2.79,Rewe_2.jpg
30,BUD & TERENCE,4.69,Rewe_2.jpg
31,AUFSTRICH PAP . ZU,1.35,Rewe_2.jpg
32,BROTAUFSTRICH ME,2.49,Rewe_2.jpg
33,NUTELLA,4.59,Rewe_2.jpg
34,STERNB . EXPORT,7.49,Rewe_2.jpg
35,"PFAND 3 , 10 EUR",3.1,Rewe_2.jpg
36,AUSLESE MILD,3.77,Rewe_2.jpg
37,SCHWAMMTUCH,1.9,Rewe_2.jpg
38,BROT CLASSIC GF,6.38,Rewe_3.jpg
39,MAISKOELBCHEN,8.97,Rewe_3.jpg
40,BITBURGER GLUTEN,12.58,Rewe_3.jpg
41,"PFAND 0,48 EUR",0.96,Rewe_3.jpg
42,LAMMSBRAEU GLUTE,5.56,Rewe_3.jpg
43,"PFAND 0,08 EUR",0.32,Rewe_3.jpg
44,KRUSTENBROT,0.63,Rewe_4.jpg
45,Rabatt 30 %,-0.19,Rewe_4.jpg
46,KARTOFFELBROT,1.01,Rewe_4.jpg
47,Rabatt 30 %,-0.3,Rewe_4.jpg
48,KUERBISKERNBROT,1.07,Rewe_4.jpg
49,Rabatt 30 %,-0.32,Rewe_4.jpg
50,WELTMEISTERBROT,1.07,Rewe_4.jpg
51,Rabatt 30 %,-0.32,Rewe_4.jpg
52,CIABATTA PICCOLA,2.99,Rewe_4.jpg
53,Rabatt 30 %,-0.9,Rewe_4.jpg
54,VEGANE TEEWURST,1.99,Rewe_4.jpg
55,Rabatt 30 %,-0.6,Rewe_4.jpg
56,GENUSS SCHEIBEN,3.87,Rewe_4.jpg
57,GRANATAPEL,1.49,Rewe_4.jpg
58,SALATGURKE,1.09,Rewe_4.jpg
59,MARGARINE,3.87,Rewe_4.jpg
60,JA ! WEIZENMEHL,0.65,Rewe_4.jpg
61,DINKELMEHL,1.49,Rewe_4.jpg
62,SPEISESTAERKE,1.29,Rewe_4.jpg
63,BROT CLASSIC GF,6.38,Rewe_4.jpg
64,PILSENER JEVER,11.99,Rewe_4.jpg
65,"PFAND 3,10 EUR",3.1,Rewe_4.jpg
66,PUEBLO BLUE,5.95,Rewe_4.jpg
67,LEERG . MW V. ST,-1.5,Rewe_4.jpg
68,LEERG . MW V. ST,-1.6,Rewe_4.jpg
69,LEERG . MW V. ST,-1.5,Rewe_4.jpg
70,LEERG . MW V. ST,-1.6,Rewe_4.jpg
71,LEERG . MW V. ST,-1.6,Rewe_4.jpg
72,LEERG . MW V. ST,-1.5,Rewe_4.jpg
73,"RBW APFELESSIG 5 ,",16.0,Rewe_5.jpg
74,VEGANE SALAMI,4.77,Rewe_6.jpg
75,Rabatt 30 %,-1.44,Rewe_6.jpg
76,VEG POMMERSCHE,1.49,Rewe_6.jpg
77,Rabatt 30 %,-0.45,Rewe_6.jpg
78,BIO DINKEL WRAPS,1.99,Rewe_6.jpg
79,GENUSS SCHEIBEN,2.58,Rewe_6.jpg
80,VEG . SPICKER,1.59,Rewe_6.jpg
81,VEG . SP . SCHNITTL,1.59,Rewe_6.jpg
82,GRANATAPEL,1.89,Rewe_6.jpg
83,BRATPAPRIKA,1.59,Rewe_6.jpg
84,CHIANTI DOCG,2.99,Rewe_6.jpg
85,WERNESGR . PILS,0.95,Rewe_6.jpg
86,"PFAND 0 , 08 EUR",0.08,Rewe_6.jpg
87,MUENCHNER HELL,0.99,Rewe_6.jpg
88,"PFAND 0 , 08 EUR",0.08,Rewe_6.jpg
89,FANTA LEMON,1.19,Rewe_6.jpg
90,"PFAND 0 , 25 EURO",0.25,Rewe_6.jpg
91,VKORN SONNENBATZ,2.19,Rewe_7.jpg
92,GENUSS SCHEIBEN,2.58,Rewe_7.jpg
93,POMELO HONEY,4.58,Rewe_7.jpg
94,BIO MARGARINE,3.58,Rewe_7.jpg
95,DINKEL - CRUNCHY,2.59,Rewe_7.jpg
96,AUFSTRICH PAP . ZU,4.05,Rewe_7.jpg
97,C. MARINA 14,7.49,Rewe_8.jpg
98,OBLATEN,1.99,Rewe_8.jpg
99,SKYR STYLE VAN .,1.99,Rewe_9.jpg
100,SAHNEPUD . SCHOKO,2.49,Rewe_9.jpg
101,COCA COLA PET,1.39,Rewe_9.jpg
102,"PFAND 0 , 15 EUR",0.15,Rewe_9.jpg
103,SODA CO2 FUELL B.,31.96,Rewe_9.jpg
104,SOJAGURT NATUR,2.78,Rewe_10.jpg
105,CREME VEGA,1.29,Rewe_10.jpg
106,BITBURGER PILS,10.49,Rewe_10.jpg
107,"PFAND 3 , 10 EUR 3 ,",10.0,Rewe_10.jpg
108,TOFU NATUR,6.57,Rewe_11.jpg
109,GENUSS SCHEIBEN,1.29,Rewe_11.jpg
110,RISPENTOMATE,2.26,Rewe_12.jpg
111,GEHACKTES 2.0,2.49,Rewe_12.jpg
112,Rabatt 30 %,-0.75,Rewe_12.jpg
113,BIO FETA 45 %,2.79,Rewe_12.jpg
114,FETA PDO LAKT - FR,2.19,Rewe_12.jpg
115,FLADENBROT,1.89,Rewe_12.jpg
116,KRAUTSALAT,2.19,Rewe_12.jpg
117,KNOBLAUCHOLIVEN,2.99,Rewe_12.jpg
118,"GRIE . PFEFFERON . 2 ,",18.0,Rewe_12.jpg
119,"CURLY WURLY 1 ,",77.0,Rewe_12.jpg
120,PUEBLO BLUE,5.95,Rewe_12.jpg
121,ANZUENDWUERFEL,3.78,Rewe_13.jpg
122,RAEUCHERTOFU,2.19,Rewe_14.jpg
123,TOFU NATUR,2.19,Rewe_14.jpg
124,KOHLRABI,0.79,Rewe_14.jpg
125,CHAMP . WEISS,1.99,Rewe_14.jpg
126,KORIANDER,1.98,Rewe_14.jpg
127,THI . REISNUDELN,4.98,Rewe_14.jpg
128,REISPAPIER,3.19,Rewe_14.jpg
129,URKROSTITZ PILS,14.49,Rewe_14.jpg
130,"PFAND 3 , 10 EUR",3.1,Rewe_14.jpg
131,KRUSTENBROT,1.49,Rewe_15.jpg
132,CHAMP . WEISS,1.99,Rewe_15.jpg
133,KRAEUTER,1.69,Rewe_15.jpg
134,RISOTTOREIS,4.58,Rewe_15.jpg
135,ZIMTSTERNE,4.49,Rewe_15.jpg
136,DOPPELKEKS GF,2.99,Rewe_15.jpg
137,LAYS SALT & VINEG .,1.99,Rewe_15.jpg
138,WERNESGR ALKFR,11.4,Rewe_15.jpg
139,"PFAND 0,08 EUR",0.96,Rewe_15.jpg
140,MUELLSACK 60L,3.99,Rewe_15.jpg
141,KASTEN LEER,1.5,Rewe_15.jpg
142,TORTILLAS WEIZEN,1.29,Rewe_16.jpg
143,VEG . HACK,3.29,Rewe_16.jpg
144,VEG . GERIEBEN PIZ,2.49,Rewe_16.jpg
145,HAFERD . BARISTA,2.55,Rewe_16.jpg
146,MIXERY ICED BLUE,1.29,Rewe_16.jpg
147,"PFAND 0,08 EUR",0.08,Rewe_16.jpg
148,ORANGE SPRITZ,1.49,Rewe_16.jpg
149,"PFAND 0 , 25 EURO 0 ,",25.0,Rewe_16.jpg
150,PAPIERTTE KLEIN,0.35,Rewe_16.jpg
